# generated by .rubies/generate-golden.sh -- do not edit
# regenerate with: make rubies-golden
file	1.9	2.0	2.1	2.3	2.5	2.6	2.7	3.0	3.1	3.2	3.4	4.0
internal/integrationtest/testdata/gems/alice/alice.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/alice/direction.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/alice/interpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/alice/mode.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/alice/point2d.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/alice/state.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bangyen-esolangs/extra/ruby/3x.rb	fail	fail	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bangyen-esolangs/extra/ruby/74.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bangyen-esolangs/extra/ruby/bit.rb	fail	fail	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bangyen-esolangs/extra/ruby/unsquare.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/args.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/instruction.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/instruction/command.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/instruction/mode.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/instruction/reflection_command.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/instruction/reflection_table.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/language.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/language/data_array.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/language/error.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/language/grid.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/language/interpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/language/pointer.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/bouncy-lang/bouncy/point.rb	fail	fail	fail	fail	fail	fail	fail	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/BraceCheck.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/brain_flak.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/BrainFlakError.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/BrainFlakInterpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/BrainFlueueInterpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/ClassicInterpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/Flag.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/Interpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brain-flak/stack.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brainfint/src/brainfuck.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/brian-chuck/brian-chuck.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/eek-esolang/derivatives/noo.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/eek-esolang/eek.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/esolang-book-sources/_practices/1-1-1a.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
